timestamp_utc,latency_ms,success
2026-08-04T03:40:47.000Z,63.111,true
2026-08-04T03:40:47.000Z,47.357,true
2026-08-04T03:40:47.000Z,48.571,true
2026-08-04T03:40:47.000Z,48.946,true
2026-08-04T03:40:47.000Z,43.862,true
2026-08-04T03:40:47.000Z,48.107,true
2026-08-04T03:40:47.000Z,65.377,true
2026-08-04T03:40:47.000Z,45.736,true
2026-08-04T03:40:47.000Z,43.511,true
2026-08-04T03:40:47.000Z,43.637,true
2026-08-04T03:40:47.000Z,43.557,true
2026-08-04T03:40:47.000Z,44.052,true
2026-08-04T03:40:47.000Z,43.446,true
2026-08-04T03:40:47.000Z,43.483,true
2026-08-04T03:40:47.000Z,43.378,true
2026-08-04T03:40:47.000Z,44.743,true
2026-08-04T03:40:47.000Z,44.048,true
2026-08-04T03:40:47.000Z,44.435,true
2026-08-04T03:40:47.000Z,44.184,true
2026-08-04T03:40:47.000Z,44.033,true
2026-08-04T03:40:47.000Z,44.126,true
2026-08-04T03:40:47.000Z,44.008,true
2026-08-04T03:40:47.000Z,44.246,true
2026-08-04T03:40:47.000Z,44.378,true
2026-08-04T03:40:47.000Z,43.957,true
2026-08-04T03:40:47.000Z,43.438,true
2026-08-04T03:40:47.000Z,43.886,true
2026-08-04T03:40:47.000Z,43.457,true
2026-08-04T03:40:47.000Z,43.500,true
2026-08-04T03:40:47.000Z,43.386,true
2026-08-04T03:40:47.000Z,43.278,true
2026-08-04T03:40:47.000Z,43.599,true
2026-08-04T03:40:47.000Z,43.543,true
2026-08-04T03:40:47.000Z,48.412,true
2026-08-04T03:40:47.000Z,44.158,true
2026-08-04T03:40:47.000Z,43.408,true
2026-08-04T03:40:47.000Z,43.050,true
2026-08-04T03:40:47.000Z,42.718,true
2026-08-04T03:40:47.000Z,43.538,true
2026-08-04T03:40:47.000Z,43.771,true
2026-08-04T03:40:47.000Z,43.292,true
2026-08-04T03:40:47.000Z,43.827,true
2026-08-04T03:40:47.000Z,43.327,true
2026-08-04T03:40:47.000Z,43.210,true
2026-08-04T03:40:47.000Z,43.335,true
2026-08-04T03:40:47.000Z,43.335,true
2026-08-04T03:40:47.000Z,43.415,true
2026-08-04T03:40:47.000Z,43.722,true
2026-08-04T03:40:47.000Z,43.585,true
2026-08-04T03:40:47.000Z,44.558,true
2026-08-04T03:40:47.000Z,43.736,true
2026-08-04T03:40:47.000Z,44.575,true
2026-08-04T03:40:47.000Z,45.231,true
2026-08-04T03:40:47.000Z,44.339,true
2026-08-04T03:40:47.000Z,44.172,true
2026-08-04T03:40:47.000Z,43.824,true
2026-08-04T03:40:47.000Z,43.915,true
2026-08-04T03:40:47.000Z,43.547,true
2026-08-04T03:40:47.000Z,43.320,true
2026-08-04T03:40:47.000Z,43.505,true
2026-08-04T03:40:47.000Z,43.648,true
