timestamp_utc,latency_ms,success
2026-08-04T03:41:08.000Z,49.030,true
2026-08-04T03:41:08.000Z,42.193,true
2026-08-04T03:41:08.000Z,47.330,true
2026-08-04T03:41:08.000Z,42.379,true
2026-08-04T03:41:08.000Z,41.938,true
2026-08-04T03:41:08.000Z,41.740,true
2026-08-04T03:41:08.000Z,41.866,true
2026-08-04T03:41:08.000Z,42.684,true
2026-08-04T03:41:08.000Z,43.240,true
2026-08-04T03:41:08.000Z,42.640,true
2026-08-04T03:41:08.000Z,42.619,true
2026-08-04T03:41:08.000Z,43.197,true
2026-08-04T03:41:08.000Z,53.997,true
2026-08-04T03:41:08.000Z,52.176,true
2026-08-04T03:41:08.000Z,42.564,true
2026-08-04T03:41:08.000Z,42.072,true
2026-08-04T03:41:08.000Z,42.185,true
2026-08-04T03:41:08.000Z,42.273,true
2026-08-04T03:41:08.000Z,42.237,true
2026-08-04T03:41:08.000Z,42.019,true
2026-08-04T03:41:08.000Z,42.419,true
2026-08-04T03:41:08.000Z,42.351,true
2026-08-04T03:41:08.000Z,42.389,true
2026-08-04T03:41:08.000Z,42.421,true
2026-08-04T03:41:08.000Z,42.381,true
2026-08-04T03:41:08.000Z,42.325,true
2026-08-04T03:41:08.000Z,42.314,true
2026-08-04T03:41:08.000Z,42.924,true
2026-08-04T03:41:08.000Z,42.935,true
2026-08-04T03:41:08.000Z,42.230,true
2026-08-04T03:41:08.000Z,42.310,true
2026-08-04T03:41:08.000Z,42.617,true
2026-08-04T03:41:08.000Z,42.056,true
2026-08-04T03:41:08.000Z,42.246,true
2026-08-04T03:41:08.000Z,43.162,true
2026-08-04T03:41:08.000Z,42.607,true
2026-08-04T03:41:08.000Z,45.725,true
2026-08-04T03:41:08.000Z,45.496,true
2026-08-04T03:41:08.000Z,43.432,true
2026-08-04T03:41:08.000Z,43.519,true
2026-08-04T03:41:08.000Z,43.100,true
2026-08-04T03:41:08.000Z,42.856,true
2026-08-04T03:41:08.000Z,42.602,true
2026-08-04T03:41:08.000Z,42.540,true
2026-08-04T03:41:08.000Z,42.508,true
2026-08-04T03:41:08.000Z,42.651,true
2026-08-04T03:41:08.000Z,42.561,true
2026-08-04T03:41:08.000Z,42.418,true
2026-08-04T03:41:08.000Z,42.680,true
2026-08-04T03:41:08.000Z,42.245,true
2026-08-04T03:41:08.000Z,42.407,true
2026-08-04T03:41:08.000Z,42.182,true
2026-08-04T03:41:08.000Z,41.916,true
2026-08-04T03:41:08.000Z,42.080,true
2026-08-04T03:41:08.000Z,41.930,true
2026-08-04T03:41:08.000Z,42.724,true
2026-08-04T03:41:08.000Z,42.163,true
2026-08-04T03:41:08.000Z,42.155,true
2026-08-04T03:41:08.000Z,45.214,true
2026-08-04T03:41:08.000Z,72.357,true
2026-08-04T03:41:08.000Z,51.506,true
