"server_version","queryid","selected_by","calls","rows","total_plan_time_ms","mean_plan_time_ms","total_exec_time_ms","mean_exec_time_ms","min_exec_time_ms","max_exec_time_ms","stddev_exec_time_ms","shared_blks_hit","shared_blks_read","temp_blks_read","temp_blks_written","wal_bytes","normalized_query","sql_fingerprint_sha256","environment","captured_at_utc"
"15.10","-2469251489422095620","total_exec_time,calls,mean_exec_time,shared_blks_read,temp_io","50","200","0.000","0.000","1586.929","31.739","31.147","38.925","1.125","42750","0","0","0","0","SELECT status, count(*), sum(total_amount) FROM portfolio_orders GROUP BY status ORDER BY status","2067ad81da14e7b21f0046be3aeb6409de513b229e1a1cb76494f0d064d134b8","blue-15","2026-08-04T00:06:51.2894050Z"
"15.10","7255857124462035091","total_exec_time,calls,mean_exec_time,shared_blks_read,temp_io","50","2500","0.000","0.000","1281.450","25.629","25.224","28.030","0.576","42900","0","0","0","0","SELECT order_id, customer_id, total_amount FROM portfolio_orders ORDER BY total_amount DESC, order_id LIMIT $1","1e7651da17ebf4b1c7608d79097b613a540bec5059e779430c7485a85b540b73","blue-15","2026-08-04T00:06:51.2904045Z"
"15.10","903935759207065050","total_exec_time,calls,mean_exec_time,shared_blks_read,temp_io","50","1700","0.000","0.000","1059.329","21.187","20.755","23.167","0.373","42600","0","0","0","0","SELECT date_trunc($1, created_at) AS order_day, count(*) FROM portfolio_orders WHERE created_at >= timestamptz $2 GROUP BY 1 ORDER BY 1","23f9b70316369f72df11d82a545b50162f50d8acd911cf076e61d9927758c9e7","blue-15","2026-08-04T00:06:51.2924043Z"
"15.10","-572032091231667055","total_exec_time,calls,mean_exec_time,shared_blks_read,temp_io","50","50","0.000","0.000","723.782","14.476","13.944","20.849","1.095","42600","0","0","0","0","SELECT count(*), sum(total_amount) FROM portfolio_orders WHERE created_at >= timestamptz $1","aeb07784578073f01094adbd9bab23a1587389da439b561f1cae816983311b6a","blue-15","2026-08-04T00:06:51.2934057Z"
"15.10","-8485266316306030636","total_exec_time,calls,mean_exec_time,shared_blks_read,temp_io","50","25050","0.000","0.000","51.287","1.026","0.960","1.766","0.138","1700","0","0","0","0","SELECT customer_id, count(*) FROM portfolio_orders WHERE customer_id BETWEEN $1 AND $2 GROUP BY customer_id ORDER BY customer_id","49ebfdb87fc167b2bcb3ce3aab2b00ad6ee177742ce08d197d4cc8f80d0e2f19","blue-15","2026-08-04T00:06:51.2944202Z"
"15.10","2870642618111528807","total_exec_time,calls,mean_exec_time,shared_blks_read,temp_io","50","8450","0.000","0.000","25.757","0.515","0.495","0.561","0.016","7800","0","0","0","0","SELECT order_id, customer_id, total_amount, row_number() OVER (PARTITION BY customer_id ORDER BY created_at DESC) AS customer_order_no FROM portfolio_orders WHERE customer_id BETWEEN $1 AND $2 ORDER BY customer_id, customer_order_no","5044dd519d507566c1b3ee5e14ba836ae8aca571611d913d406408fbb42c3f4d","blue-15","2026-08-04T00:06:51.3084908Z"
"15.10","-8685230058379122854","total_exec_time,calls,mean_exec_time,shared_blks_read,temp_io","50","550","0.000","0.000","7.478","0.150","0.135","0.173","0.008","850","0","0","0","0","SELECT * FROM portfolio_orders WHERE customer_id = $1 ORDER BY created_at DESC LIMIT $2","5953bb586f12cbebaa85e7cb549893d3e20870e53ce43109dec07004c0ecb756","blue-15","2026-08-04T00:06:51.3104927Z"
"15.10","-8918282986913656535","total_exec_time,calls,mean_exec_time,shared_blks_read,temp_io","50","50","0.000","0.000","3.645","0.073","0.064","0.091","0.005","300","0","0","0","0","SELECT * FROM portfolio_orders WHERE order_id = $1","6a12a8f014e0251108be0b4008cf28faecaf8978ce6d78abdc54af88fd6cd1bb","blue-15","2026-08-04T00:06:51.3104927Z"
